Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
dangaliari,Verbo,"spingere, muovere",Italiano,1s:dangaliu;2s:dangalias;3s:dangalia;1p:dangaliamu;2p:dangaliati;3p:dangalianu;1s_pass:dangaliai;2s_pass:dangaliasti;3s_pass:dangaliau;1p_pass:dangaliàmuru;2p_pass:dangaliàstivu;3p_pass:dangaliàranu,OK
dari,Verbo,dar,Español,1s:du;2s:das;3s:da;1p:damu;2p:dati;3p:danu;1s_pass:dai;2s_pass:dasti;3s_pass:dau;1p_pass:dàmuru;2p_pass:dàstivu;3p_pass:dàranu,OK
dasciari,Verbo,dejar,Español,1s:dasciu;2s:dascias;3s:dascia;1p:dasciamu;2p:dasciati;3p:dascianu;1s_pass:dasciai;2s_pass:dasciasti;3s_pass:dasciau;1p_pass:dasciàmuru;2p_pass:dasciàstivu;3p_pass:dasciàranu,OK
ddrivigghiari,Verbo,svegliare,Italiano,1s:ddrivigghiu;2s:ddrivigghias;3s:ddrivigghia;1p:ddrivigghiamu;2p:ddrivigghiati;3p:ddrivigghianu;1s_pass:ddrivigghiai;2s_pass:ddrivigghiasti;3s_pass:ddrivigghiau;1p_pass:ddrivigghiàmuru;2p_pass:ddrivigghiàstivu;3p_pass:ddrivigghiàranu,OK
dichiarari,Verbo,declarar,Español,1s:dichiaru;2s:dichiaras;3s:dichiara;1p:dichiaramu;2p:dichiarati;3p:dichiaranu;1s_pass:dichiarai;2s_pass:dichiarasti;3s_pass:dichiarau;1p_pass:dichiaràmuru;2p_pass:dichiaràstivu;3p_pass:dichiaràranu,OK
dichiari,Verbo,"irritare, stizzire",Italiano,1s:dichiu;2s:dichias;3s:dichia;1p:dichiamu;2p:dichiati;3p:dichianu;1s_pass:dichiai;2s_pass:dichiasti;3s_pass:dichiau;1p_pass:dichiàmuru;2p_pass:dichiàstivu;3p_pass:dichiàranu,OK
didùciri,Verbo,deducir,Español,1s:didùcu;2s:didùci;3s:didùci;1p:didùcimu;2p:didùciti;3p:didùcinu;1s_pass:didùcii;2s_pass:didùcisti;3s_pass:didùcìu;1p_pass:didùcìmuru;2p_pass:didùcìstivu;3p_pass:didùcìranu,OK
difènniri,Verbo,defender,Español,1s:difènnu;2s:difènni;3s:difènni;1p:difènnimu;2p:difènniti;3p:difènninu;1s_pass:difènnii;2s_pass:difènnisti;3s_pass:difènnìu;1p_pass:difènnìmuru;2p_pass:difènnìstivu;3p_pass:difènnìranu,OK
diggiriri,Verbo,digerir,Español,1s:diggiru;2s:diggiri;3s:diggiri;1p:diggirimu;2p:diggiriti;3p:diggirinu;1s_pass:diggirii;2s_pass:diggiristi;3s_pass:diggirìu;1p_pass:diggirìmuru;2p_pass:diggirìstivu;3p_pass:diggirìranu,OK
digiriri,Verbo,digerir,Español,1s:digiru;2s:digiri;3s:digiri;1p:digirimu;2p:digiriti;3p:digirinu;1s_pass:digirii;2s_pass:digiristi;3s_pass:digirìu;1p_pass:digirìmuru;2p_pass:digirìstivu;3p_pass:digirìranu,OK
diittari,Verbo,"degradar, desanimar",Español,1s:diittu;2s:diittas;3s:diitta;1p:diittamu;2p:diittati;3p:diittanu;1s_pass:diittai;2s_pass:diittasti;3s_pass:diittau;1p_pass:diittàmuru;2p_pass:diittàstivu;3p_pass:diittàranu,OK
dijittari,Verbo,"degradar, desanimar",Español,1s:dijittu;2s:dijittas;3s:dijitta;1p:dijittamu;2p:dijittati;3p:dijittanu;1s_pass:dijittai;2s_pass:dijittasti;3s_pass:dijittau;1p_pass:dijittàmuru;2p_pass:dijittàstivu;3p_pass:dijittàranu,OK
diminuiri,Verbo,disminuir,Español,1s:diminuu;2s:diminui;3s:diminui;1p:diminuimu;2p:diminuiti;3p:diminuinu;1s_pass:diminuii;2s_pass:diminuisti;3s_pass:diminuìu;1p_pass:diminuìmuru;2p_pass:diminuìstivu;3p_pass:diminuìranu,OK
dipusitari,Verbo,depositar,Español,1s:dipusitu;2s:dipusitas;3s:dipusita;1p:dipusitamu;2p:dipusitati;3p:dipusitanu;1s_pass:dipusitai;2s_pass:dipusitasti;3s_pass:dipusitau;1p_pass:dipusitàmuru;2p_pass:dipusitàstivu;3p_pass:dipusitàranu,OK
diri,Verbo,decir,Español,1s:du;2s:di;3s:di;1p:dimu;2p:diti;3p:dinu;1s_pass:dii;2s_pass:disti;3s_pass:dìu;1p_pass:dìmuru;2p_pass:dìstivu;3p_pass:dìranu,OK
dirìggiri,Verbo,dirigir,Español,1s:dirìggu;2s:dirìggi;3s:dirìggi;1p:dirìggimu;2p:dirìggiti;3p:dirìgginu;1s_pass:dirìggii;2s_pass:dirìggisti;3s_pass:dirìggìu;1p_pass:dirìggìmuru;2p_pass:dirìggìstivu;3p_pass:dirìggìranu,OK
dirìgiri,Verbo,dirigir,Español,1s:dirìgu;2s:dirìgi;3s:dirìgi;1p:dirìgimu;2p:dirìgiti;3p:dirìginu;1s_pass:dirìgii;2s_pass:dirìgisti;3s_pass:dirìgìu;1p_pass:dirìgìmuru;2p_pass:dirìgìstivu;3p_pass:dirìgìranu,OK
discausari,Verbo,descalzar,Español,1s:discausu;2s:discausas;3s:discausa;1p:discausamu;2p:discausati;3p:discausanu;1s_pass:discausai;2s_pass:discausasti;3s_pass:discausau;1p_pass:discausàmuru;2p_pass:discausàstivu;3p_pass:discausàranu,OK
discùrriri,Verbo,discutir,Español,1s:discùrru;2s:discùrri;3s:discùrri;1p:discùrrimu;2p:discùrriti;3p:discùrrinu;1s_pass:discùrrii;2s_pass:discùrristi;3s_pass:discùrrìu;1p_pass:discùrrìmuru;2p_pass:discùrrìstivu;3p_pass:discùrrìranu,OK
disfari,Verbo,deshacer,Español,1s:disfu;2s:disfas;3s:disfa;1p:disfamu;2p:disfati;3p:disfanu;1s_pass:disfai;2s_pass:disfasti;3s_pass:disfau;1p_pass:disfàmuru;2p_pass:disfàstivu;3p_pass:disfàranu,OK
disidirari,Verbo,desear,Español,1s:disidiru;2s:disidiras;3s:disidira;1p:disidiramu;2p:disidirati;3p:disidiranu;1s_pass:disidirai;2s_pass:disidirasti;3s_pass:disidirau;1p_pass:disidiràmuru;2p_pass:disidiràstivu;3p_pass:disidiràranu,OK
disprizzari,Verbo,despreciar,Español,1s:disprizzu;2s:disprizzas;3s:disprizza;1p:disprizzamu;2p:disprizzati;3p:disprizzanu;1s_pass:disprizzai;2s_pass:disprizzasti;3s_pass:disprizzau;1p_pass:disprizzàmuru;2p_pass:disprizzàstivu;3p_pass:disprizzàranu,OK
dispòniri,Verbo,disponer,Español,1s:dispònu;2s:dispòni;3s:dispòni;1p:dispònimu;2p:dispòniti;3p:dispòninu;1s_pass:dispònii;2s_pass:dispònisti;3s_pass:dispònìu;1p_pass:dispònìmuru;2p_pass:dispònìstivu;3p_pass:dispònìranu,OK
distinari,Verbo,destinar,Español,1s:distinu;2s:distinas;3s:distina;1p:distinamu;2p:distinati;3p:distinanu;1s_pass:distinai;2s_pass:distinasti;3s_pass:distinau;1p_pass:distinàmuru;2p_pass:distinàstivu;3p_pass:distinàranu,OK
distrubbari,Verbo,molestar,Español,1s:distrubbu;2s:distrubbas;3s:distrubba;1p:distrubbamu;2p:distrubbati;3p:distrubbanu;1s_pass:distrubbai;2s_pass:distrubbasti;3s_pass:distrubbau;1p_pass:distrubbàmuru;2p_pass:distrubbàstivu;3p_pass:distrubbàranu,OK
distrùdiri,Verbo,destruir,Español,1s:distrùdu;2s:distrùdi;3s:distrùdi;1p:distrùdimu;2p:distrùditi;3p:distrùdinu;1s_pass:distrùdii;2s_pass:distrùdisti;3s_pass:distrùdìu;1p_pass:distrùdìmuru;2p_pass:distrùdìstivu;3p_pass:distrùdìranu,OK
distrùggiri,Verbo,destruir,Español,1s:distrùggu;2s:distrùggi;3s:distrùggi;1p:distrùggimu;2p:distrùggiti;3p:distrùgginu;1s_pass:distrùggii;2s_pass:distrùggisti;3s_pass:distrùggìu;1p_pass:distrùggìmuru;2p_pass:distrùggìstivu;3p_pass:distrùggìranu,OK
disturbari,Verbo,molestar,Español,1s:disturbu;2s:disturbas;3s:disturba;1p:disturbamu;2p:disturbati;3p:disturbanu;1s_pass:disturbai;2s_pass:disturbasti;3s_pass:disturbau;1p_pass:disturbàmuru;2p_pass:disturbàstivu;3p_pass:disturbàranu,OK
divigghiari,Verbo,"svellere (svegliere), disvegliare",Italiano,1s:divigghiu;2s:divigghias;3s:divigghia;1p:divigghiamu;2p:divigghiati;3p:divigghianu;1s_pass:divigghiai;2s_pass:divigghiasti;3s_pass:divigghiau;1p_pass:divigghiàmuru;2p_pass:divigghiàstivu;3p_pass:divigghiàranu,OK
divingiari,Verbo,vengar,Español,1s:divingiu;2s:divingias;3s:divingia;1p:divingiamu;2p:divingiati;3p:divingianu;1s_pass:divingiai;2s_pass:divingiasti;3s_pass:divingiau;1p_pass:divingiàmuru;2p_pass:divingiàstivu;3p_pass:divingiàranu,OK
divintari,Verbo,volverse,Español,1s:divintu;2s:divintas;3s:divinta;1p:divintamu;2p:divintati;3p:divintanu;1s_pass:divintai;2s_pass:divintasti;3s_pass:divintau;1p_pass:divintàmuru;2p_pass:divintàstivu;3p_pass:divintàranu,OK
divèrtiri,Verbo,divertir,Español,1s:divèrtu;2s:divèrti;3s:divèrti;1p:divèrtimu;2p:divèrtiti;3p:divèrtinu;1s_pass:divèrtii;2s_pass:divèrtisti;3s_pass:divèrtìu;1p_pass:divèrtìmuru;2p_pass:divèrtìstivu;3p_pass:divèrtìranu,OK
dubbitiari,Verbo,zoppicare,Italiano,1s:dubbitiu;2s:dubbitias;3s:dubbitia;1p:dubbitiamu;2p:dubbitiati;3p:dubbitianu;1s_pass:dubbitiai;2s_pass:dubbitiasti;3s_pass:dubbitiau;1p_pass:dubbitiàmuru;2p_pass:dubbitiàstivu;3p_pass:dubbitiàranu,OK
dunniari,Verbo,dondolarsela,Italiano,1s:dunniu;2s:dunnias;3s:dunnia;1p:dunniamu;2p:dunniati;3p:dunnianu;1s_pass:dunniai;2s_pass:dunniasti;3s_pass:dunniau;1p_pass:dunniàmuru;2p_pass:dunniàstivu;3p_pass:dunniàranu,OK
durari,Verbo,"durar, tardar",Español,1s:duru;2s:duras;3s:dura;1p:duramu;2p:durati;3p:duranu;1s_pass:durai;2s_pass:durasti;3s_pass:durau;1p_pass:duràmuru;2p_pass:duràstivu;3p_pass:duràranu,OK
dìciri,Verbo,decir,Español,1s:dìcu;2s:dìci;3s:dìci;1p:dìcimu;2p:dìciti;3p:dìcinu;1s_pass:dìcii;2s_pass:dìcisti;3s_pass:dìcìu;1p_pass:dìcìmuru;2p_pass:dìcìstivu;3p_pass:dìcìranu,OK
dòrmiri,Verbo,dormir,Español,1s:dòrmu;2s:dòrmi;3s:dòrmi;1p:dòrmimu;2p:dòrmiti;3p:dòrminu;1s_pass:dòrmii;2s_pass:dòrmisti;3s_pass:dòrmìu;1p_pass:dòrmìmuru;2p_pass:dòrmìstivu;3p_pass:dòrmìranu,OK
elettivari,Verbo,elegir,Español,1s:elettivu;2s:elettivas;3s:elettiva;1p:elettivamu;2p:elettivati;3p:elettivanu;1s_pass:elettivai;2s_pass:elettivasti;3s_pass:elettivau;1p_pass:elettivàmuru;2p_pass:elettivàstivu;3p_pass:elettivàranu,OK
elìggiri,Verbo,"elegir, votar a",Español,1s:elìggu;2s:elìggi;3s:elìggi;1p:elìggimu;2p:elìggiti;3p:elìgginu;1s_pass:elìggii;2s_pass:elìggisti;3s_pass:elìggìu;1p_pass:elìggìmuru;2p_pass:elìggìstivu;3p_pass:elìggìranu,OK
eriditari,Verbo,heredar,Español,1s:eriditu;2s:eriditas;3s:eridita;1p:eriditamu;2p:eriditati;3p:eriditanu;1s_pass:eriditai;2s_pass:eriditasti;3s_pass:eriditau;1p_pass:eriditàmuru;2p_pass:eriditàstivu;3p_pass:eriditàranu,OK
esaminari,Verbo,examinar,Español,1s:esaminu;2s:esaminas;3s:esamina;1p:esaminamu;2p:esaminati;3p:esaminanu;1s_pass:esaminai;2s_pass:esaminasti;3s_pass:esaminau;1p_pass:esaminàmuru;2p_pass:esaminàstivu;3p_pass:esaminàranu,OK
esitari,Verbo,vaciar,Español,1s:esitu;2s:esitas;3s:esita;1p:esitamu;2p:esitati;3p:esitanu;1s_pass:esitai;2s_pass:esitasti;3s_pass:esitau;1p_pass:esitàmuru;2p_pass:esitàstivu;3p_pass:esitàranu,OK
esìstiri,Verbo,existir,Español,1s:esìstu;2s:esìsti;3s:esìsti;1p:esìstimu;2p:esìstiti;3p:esìstinu;1s_pass:esìstii;2s_pass:esìstisti;3s_pass:esìstìu;1p_pass:esìstìmuru;2p_pass:esìstìstivu;3p_pass:esìstìranu,OK
fabbricari,Verbo,fabricar,Español,1s:fabbricu;2s:fabbricas;3s:fabbrica;1p:fabbricamu;2p:fabbricati;3p:fabbricanu;1s_pass:fabbricai;2s_pass:fabbricasti;3s_pass:fabbricau;1p_pass:fabbricàmuru;2p_pass:fabbricàstivu;3p_pass:fabbricàranu,OK
fadiari,Verbo,separare dal grano baccelli o spighe non trebbiate,Italiano,1s:fadiu;2s:fadias;3s:fadia;1p:fadiamu;2p:fadiati;3p:fadianu;1s_pass:fadiai;2s_pass:fadiasti;3s_pass:fadiau;1p_pass:fadiàmuru;2p_pass:fadiàstivu;3p_pass:fadiàranu,OK
fadiddiari,Verbo,fare cose da donna,Italiano,1s:fadiddiu;2s:fadiddias;3s:fadiddia;1p:fadiddiamu;2p:fadiddiati;3p:fadiddianu;1s_pass:fadiddiai;2s_pass:fadiddiasti;3s_pass:fadiddiau;1p_pass:fadiddiàmuru;2p_pass:fadiddiàstivu;3p_pass:fadiddiàranu,OK
falliri,Verbo,fallar,Español,1s:fallu;2s:falli;3s:falli;1p:fallimu;2p:falliti;3p:fallinu;1s_pass:fallii;2s_pass:fallisti;3s_pass:fallìu;1p_pass:fallìmuru;2p_pass:fallìstivu;3p_pass:fallìranu,OK
fari,Verbo,hacer,Español,1s:fu;2s:fas;3s:fa;1p:famu;2p:fati;3p:fanu;1s_pass:fai;2s_pass:fasti;3s_pass:fau;1p_pass:fàmuru;2p_pass:fàstivu;3p_pass:fàranu,OK
fari comu un èttari,Verbo,"fare il diavolo a quattro: fare grande confusione, baccano, oppure lasaciarsi andare a violente scenate di rabbia)",Italiano,1s:fari comu un èttu;2s:fari comu un èttas;3s:fari comu un ètta;1p:fari comu un èttamu;2p:fari comu un èttati;3p:fari comu un èttanu;1s_pass:fari comu un èttai;2s_pass:fari comu un èttasti;3s_pass:fari comu un èttau;1p_pass:fari comu un èttàmuru;2p_pass:fari comu un èttàstivu;3p_pass:fari comu un èttàranu,OK
fidari,Verbo,"confiar, fiar",Español,1s:fidu;2s:fidas;3s:fida;1p:fidamu;2p:fidati;3p:fidanu;1s_pass:fidai;2s_pass:fidasti;3s_pass:fidau;1p_pass:fidàmuru;2p_pass:fidàstivu;3p_pass:fidàranu,OK
filari,Verbo,hilar,Español,1s:filu;2s:filas;3s:fila;1p:filamu;2p:filati;3p:filanu;1s_pass:filai;2s_pass:filasti;3s_pass:filau;1p_pass:filàmuru;2p_pass:filàstivu;3p_pass:filàranu,OK
finiari,Verbo,"nitrire, annitrire",Italiano,1s:finiu;2s:finias;3s:finia;1p:finiamu;2p:finiati;3p:finianu;1s_pass:finiai;2s_pass:finiasti;3s_pass:finiau;1p_pass:finiàmuru;2p_pass:finiàstivu;3p_pass:finiàranu,OK
finiri,Verbo,"acabar, terminar",Español,1s:finu;2s:fini;3s:fini;1p:finimu;2p:finiti;3p:fininu;1s_pass:finii;2s_pass:finisti;3s_pass:finìu;1p_pass:finìmuru;2p_pass:finìstivu;3p_pass:finìranu,OK
firiri,Verbo,herir,Español,1s:firu;2s:firi;3s:firi;1p:firimu;2p:firiti;3p:firinu;1s_pass:firii;2s_pass:firisti;3s_pass:firìu;1p_pass:firìmuru;2p_pass:firìstivu;3p_pass:firìranu,OK
firziniari,Verbo,volgere,Italiano,1s:firziniu;2s:firzinias;3s:firzinia;1p:firziniamu;2p:firziniati;3p:firzinianu;1s_pass:firziniai;2s_pass:firziniasti;3s_pass:firziniau;1p_pass:firziniàmuru;2p_pass:firziniàstivu;3p_pass:firziniàranu,OK
fisciari,Verbo,"stridere di legna verde che brucia, di razzi",Italiano,1s:fisciu;2s:fiscias;3s:fiscia;1p:fisciamu;2p:fisciati;3p:fiscianu;1s_pass:fisciai;2s_pass:fisciasti;3s_pass:fisciau;1p_pass:fisciàmuru;2p_pass:fisciàstivu;3p_pass:fisciàranu,OK
fittiari,Verbo,il pulsare del sangue nelle pustole,Italiano,1s:fittiu;2s:fittias;3s:fittia;1p:fittiamu;2p:fittiati;3p:fittianu;1s_pass:fittiai;2s_pass:fittiasti;3s_pass:fittiau;1p_pass:fittiàmuru;2p_pass:fittiàstivu;3p_pass:fittiàranu,OK
fracassari,Verbo,"romper, destrozar",Español,1s:fracassu;2s:fracassas;3s:fracassa;1p:fracassamu;2p:fracassati;3p:fracassanu;1s_pass:fracassai;2s_pass:fracassasti;3s_pass:fracassau;1p_pass:fracassàmuru;2p_pass:fracassàstivu;3p_pass:fracassàranu,OK
fudduniari,Verbo,lasciare orme profonde sul terreno,Italiano,1s:fudduniu;2s:fuddunias;3s:fuddunia;1p:fudduniamu;2p:fudduniati;3p:fuddunianu;1s_pass:fudduniai;2s_pass:fudduniasti;3s_pass:fudduniau;1p_pass:fudduniàmuru;2p_pass:fudduniàstivu;3p_pass:fudduniàranu,OK
funziunari,Verbo,funcionar,Español,1s:funziunu;2s:funziunas;3s:funziuna;1p:funziunamu;2p:funziunati;3p:funziunanu;1s_pass:funziunai;2s_pass:funziunasti;3s_pass:funziunau;1p_pass:funziunàmuru;2p_pass:funziunàstivu;3p_pass:funziunàranu,OK
furbuliari,Verbo,bastonare,Italiano,1s:furbuliu;2s:furbulias;3s:furbulia;1p:furbuliamu;2p:furbuliati;3p:furbulianu;1s_pass:furbuliai;2s_pass:furbuliasti;3s_pass:furbuliau;1p_pass:furbuliàmuru;2p_pass:furbuliàstivu;3p_pass:furbuliàranu,OK
fustariari,Verbo,esporre il lino al sole perché dissecchi,Italiano,1s:fustariu;2s:fustarias;3s:fustaria;1p:fustariamu;2p:fustariati;3p:fustarianu;1s_pass:fustariai;2s_pass:fustariasti;3s_pass:fustariau;1p_pass:fustariàmuru;2p_pass:fustariàstivu;3p_pass:fustariàranu,OK
fàciri,Verbo,hacer,Español,1s:fàcu;2s:fàci;3s:fàci;1p:fàcimu;2p:fàciti;3p:fàcinu;1s_pass:fàcii;2s_pass:fàcisti;3s_pass:fàcìu;1p_pass:fàcìmuru;2p_pass:fàcìstivu;3p_pass:fàcìranu,OK
fètiri,Verbo,"oler mal, heder, apestar",Español,1s:fètu;2s:fèti;3s:fèti;1p:fètimu;2p:fètiti;3p:fètinu;1s_pass:fètii;2s_pass:fètisti;3s_pass:fètìu;1p_pass:fètìmuru;2p_pass:fètìstivu;3p_pass:fètìranu,OK
fùggiri,Verbo,huir,Español,1s:fùggu;2s:fùggi;3s:fùggi;1p:fùggimu;2p:fùggiti;3p:fùgginu;1s_pass:fùggii;2s_pass:fùggisti;3s_pass:fùggìu;1p_pass:fùggìmuru;2p_pass:fùggìstivu;3p_pass:fùggìranu,OK
fùiri,Verbo,huir,Español,1s:fùu;2s:fùi;3s:fùi;1p:fùimu;2p:fùiti;3p:fùinu;1s_pass:fùii;2s_pass:fùisti;3s_pass:fùìu;1p_pass:fùìmuru;2p_pass:fùìstivu;3p_pass:fùìranu,OK
fùjiri,Verbo,huir,Español,1s:fùju;2s:fùji;3s:fùji;1p:fùjimu;2p:fùjiti;3p:fùjinu;1s_pass:fùjii;2s_pass:fùjisti;3s_pass:fùjìu;1p_pass:fùjìmuru;2p_pass:fùjìstivu;3p_pass:fùjìranu,OK
garbiari,Verbo,tribolare,Italiano,1s:garbiu;2s:garbias;3s:garbia;1p:garbiamu;2p:garbiati;3p:garbianu;1s_pass:garbiai;2s_pass:garbiasti;3s_pass:garbiau;1p_pass:garbiàmuru;2p_pass:garbiàstivu;3p_pass:garbiàranu,OK
garbizzari,Verbo,"avere a gusto, gradire",Italiano,1s:garbizzu;2s:garbizzas;3s:garbizza;1p:garbizzamu;2p:garbizzati;3p:garbizzanu;1s_pass:garbizzai;2s_pass:garbizzasti;3s_pass:garbizzau;1p_pass:garbizzàmuru;2p_pass:garbizzàstivu;3p_pass:garbizzàranu,OK
gastimari,Verbo,"imprecar, maldecir",Español,1s:gastimu;2s:gastimas;3s:gastima;1p:gastimamu;2p:gastimati;3p:gastimanu;1s_pass:gastimai;2s_pass:gastimasti;3s_pass:gastimau;1p_pass:gastimàmuru;2p_pass:gastimàstivu;3p_pass:gastimàranu,OK
gattigghiari,Verbo,hacer cosquillas,Español,1s:gattigghiu;2s:gattigghias;3s:gattigghia;1p:gattigghiamu;2p:gattigghiati;3p:gattigghianu;1s_pass:gattigghiai;2s_pass:gattigghiasti;3s_pass:gattigghiau;1p_pass:gattigghiàmuru;2p_pass:gattigghiàstivu;3p_pass:gattigghiàranu,OK
ghicari,Verbo,"plegar, doblar",Español,1s:ghicu;2s:ghicas;3s:ghica;1p:ghicamu;2p:ghicati;3p:ghicanu;1s_pass:ghicai;2s_pass:ghicasti;3s_pass:ghicau;1p_pass:ghicàmuru;2p_pass:ghicàstivu;3p_pass:ghicàranu,OK
ghiri,Verbo,ir,Español,1s:ghu;2s:ghi;3s:ghi;1p:ghimu;2p:ghiti;3p:ghinu;1s_pass:ghii;2s_pass:ghisti;3s_pass:ghìu;1p_pass:ghìmuru;2p_pass:ghìstivu;3p_pass:ghìranu,OK
giarniari,Verbo,palidecer,Español,1s:giarniu;2s:giarnias;3s:giarnia;1p:giarniamu;2p:giarniati;3p:giarnianu;1s_pass:giarniai;2s_pass:giarniasti;3s_pass:giarniau;1p_pass:giarniàmuru;2p_pass:giarniàstivu;3p_pass:giarniàranu,OK
gilari,Verbo,helar,Español,1s:gilu;2s:gilas;3s:gila;1p:gilamu;2p:gilati;3p:gilanu;1s_pass:gilai;2s_pass:gilasti;3s_pass:gilau;1p_pass:gilàmuru;2p_pass:gilàstivu;3p_pass:gilàranu,OK
gimitriari,Verbo,"mulinare, considerare",Italiano,1s:gimitriu;2s:gimitrias;3s:gimitria;1p:gimitriamu;2p:gimitriati;3p:gimitrianu;1s_pass:gimitriai;2s_pass:gimitriasti;3s_pass:gimitriau;1p_pass:gimitriàmuru;2p_pass:gimitriàstivu;3p_pass:gimitriàranu,OK
girari,Verbo,girar,Español,1s:giru;2s:giras;3s:gira;1p:giramu;2p:girati;3p:giranu;1s_pass:girai;2s_pass:girasti;3s_pass:girau;1p_pass:giràmuru;2p_pass:giràstivu;3p_pass:giràranu,OK
girfiri,Verbo,tallire,Italiano,1s:girfu;2s:girfi;3s:girfi;1p:girfimu;2p:girfiti;3p:girfinu;1s_pass:girfii;2s_pass:girfisti;3s_pass:girfìu;1p_pass:girfìmuru;2p_pass:girfìstivu;3p_pass:girfìranu,OK
giri,Verbo,ir / remolachas (Beta vulgaris),Español,1s:gu;2s:gi;3s:gi;1p:gimu;2p:giti;3p:ginu;1s_pass:gii;2s_pass:gisti;3s_pass:gìu;1p_pass:gìmuru;2p_pass:gìstivu;3p_pass:gìranu,OK
giriari,Verbo,girar,Español,1s:giriu;2s:girias;3s:giria;1p:giriamu;2p:giriati;3p:girianu;1s_pass:giriai;2s_pass:giriasti;3s_pass:giriau;1p_pass:giriàmuru;2p_pass:giriàstivu;3p_pass:giriàranu,OK
giucari,Verbo,jugar,Español,1s:giucu;2s:giucas;3s:giuca;1p:giucamu;2p:giucati;3p:giucanu;1s_pass:giucai;2s_pass:giucasti;3s_pass:giucau;1p_pass:giucàmuru;2p_pass:giucàstivu;3p_pass:giucàranu,OK
giudicari,Verbo,juzgar,Español,1s:giudicu;2s:giudicas;3s:giudica;1p:giudicamu;2p:giudicati;3p:giudicanu;1s_pass:giudicai;2s_pass:giudicasti;3s_pass:giudicau;1p_pass:giudicàmuru;2p_pass:giudicàstivu;3p_pass:giudicàranu,OK
giuliari,Verbo,ingelosire,Italiano,1s:giuliu;2s:giulias;3s:giulia;1p:giuliamu;2p:giuliati;3p:giulianu;1s_pass:giuliai;2s_pass:giuliasti;3s_pass:giuliau;1p_pass:giuliàmuru;2p_pass:giuliàstivu;3p_pass:giuliàranu,OK
giummiari,Verbo,accestire,Italiano,1s:giummiu;2s:giummias;3s:giummia;1p:giummiamu;2p:giummiati;3p:giummianu;1s_pass:giummiai;2s_pass:giummiasti;3s_pass:giummiau;1p_pass:giummiàmuru;2p_pass:giummiàstivu;3p_pass:giummiàranu,OK
giurari,Verbo,jurar,Español,1s:giuru;2s:giuras;3s:giura;1p:giuramu;2p:giurati;3p:giuranu;1s_pass:giurai;2s_pass:giurasti;3s_pass:giurau;1p_pass:giuràmuru;2p_pass:giuràstivu;3p_pass:giuràranu,OK
giustificari,Verbo,justificar,Español,1s:giustificu;2s:giustificas;3s:giustifica;1p:giustificamu;2p:giustificati;3p:giustificanu;1s_pass:giustificai;2s_pass:giustificasti;3s_pass:giustificau;1p_pass:giustificàmuru;2p_pass:giustificàstivu;3p_pass:giustificàranu,OK
gnilari,Verbo,helar,Español,1s:gnilu;2s:gnilas;3s:gnila;1p:gnilamu;2p:gnilati;3p:gnilanu;1s_pass:gnilai;2s_pass:gnilasti;3s_pass:gnilau;1p_pass:gnilàmuru;2p_pass:gnilàstivu;3p_pass:gnilàranu,OK
gnittari,Verbo,"tirar, lanzar",Español,1s:gnittu;2s:gnittas;3s:gnitta;1p:gnittamu;2p:gnittati;3p:gnittanu;1s_pass:gnittai;2s_pass:gnittasti;3s_pass:gnittau;1p_pass:gnittàmuru;2p_pass:gnittàstivu;3p_pass:gnittàranu,OK
gnucchiari,Verbo,inginocchiarsi,Italiano,1s:gnucchiu;2s:gnucchias;3s:gnucchia;1p:gnucchiamu;2p:gnucchiati;3p:gnucchianu;1s_pass:gnucchiai;2s_pass:gnucchiasti;3s_pass:gnucchiau;1p_pass:gnucchiàmuru;2p_pass:gnucchiàstivu;3p_pass:gnucchiàranu,OK
granciuliari,Verbo,"1. , 2. , 3. hacer cosquillas",Español,1s:granciuliu;2s:granciulias;3s:granciulia;1p:granciuliamu;2p:granciuliati;3p:granciulianu;1s_pass:granciuliai;2s_pass:granciuliasti;3s_pass:granciuliau;1p_pass:granciuliàmuru;2p_pass:granciuliàstivu;3p_pass:granciuliàranu,OK
granfari,Verbo,arañar,Español,1s:granfu;2s:granfas;3s:granfa;1p:granfamu;2p:granfati;3p:granfanu;1s_pass:granfai;2s_pass:granfasti;3s_pass:granfau;1p_pass:granfàmuru;2p_pass:granfàstivu;3p_pass:granfàranu,OK
granfiari,Verbo,"1. arañar, 2. coger, apretar",Español,1s:granfiu;2s:granfias;3s:granfia;1p:granfiamu;2p:granfiati;3p:granfianu;1s_pass:granfiai;2s_pass:granfiasti;3s_pass:granfiau;1p_pass:granfiàmuru;2p_pass:granfiàstivu;3p_pass:granfiàranu,OK
granniari,Verbo,fare da grande,Italiano,1s:granniu;2s:grannias;3s:grannia;1p:granniamu;2p:granniati;3p:grannianu;1s_pass:granniai;2s_pass:granniasti;3s_pass:granniau;1p_pass:granniàmuru;2p_pass:granniàstivu;3p_pass:granniàranu,OK
grattari,Verbo,"rascar, arañar",Español,1s:grattu;2s:grattas;3s:gratta;1p:grattamu;2p:grattati;3p:grattanu;1s_pass:grattai;2s_pass:grattasti;3s_pass:grattau;1p_pass:grattàmuru;2p_pass:grattàstivu;3p_pass:grattàranu,OK
