Palabra,Sustantivo,Traduccion,Idioma,Conjugaciones,Estado
cornabusci,Sustantivo,nome di pianta,Italiano,,OK
cornu,Verbo,cuerno (hueso),Español,,OK
corpu,Sustantivo,cuerpo / golpe,Español,,OK
corsu,Sustantivo,corso / idioma corso,Español,,OK
corti,Sustantivo,corte,Español,,OK
coru,Sustantivo,coro,Español,,OK
corvu,Sustantivo,cuervo,Español,,OK
cosa,Sustantivo,cosa,Español,,OK
cosca,Verbo,cestola d'una foglia d'ortaggi,Italiano,,OK
coscia,Sustantivo,muslo,Español,,OK
costa,Sustantivo,"costa (mar), litoral",Español,,OK
cozzu,Sustantivo,"1. trozo (de pan), 2. occipucio, colodrillo, cogote, nuca",Español,,OK
crapa,Sustantivo,cabra,Español,,OK
craparu,Sustantivo,cabrero,Español,,OK
crapettu,Sustantivo,cabrito,Español,,OK
crastulli,Sustantivo,figurine mosse da giocolieri,Italiano,,OK
crastuni,Sustantivo,gran caracol,Español,,OK
crauni,Sustantivo,carbón,Español,,OK
cravuni,Sustantivo,carbón,Español,,OK
crema,Sustantivo,nata,Español,,OK
cresia,Verbo,iglesia,Español,,OK
criccu,Sustantivo,"graffa, grappa",Italiano,,OK
cricopa,Sustantivo,albaricoque,Español,,OK
cricropa,Sustantivo,albaricoque,Español,,OK
criscintollu,Verbo,arnese per forbire,Italiano,,OK
crisciolu,Sustantivo,crogiolo,Italiano,,OK
crispedda,Sustantivo,buñuelo,Español,,OK
cristianu,Sustantivo,cristiano / persona,Español,,OK
crisuli,Sustantivo,piatti d'argento,Italiano,,OK
cropa,Sustantivo,manata di spine,Italiano,,OK
crozza,Sustantivo,"cráneo, calavera / muleta",Español,,OK
cruci,Sustantivo,cruz,Español,,OK
crupa,Sustantivo,"mozzicone, brocca rotta, cicca, ecc.",Italiano,,OK
cròcchiula,Sustantivo,concha (de moluscos),Español,,OK
cròpanu,Sustantivo,abete,Italiano,,OK
cu,Sustantivo,con / quien,Español,,OK
cucchiara,Sustantivo,cuchara,Español,,OK
cucciara,Sustantivo,cuchara,Español,,OK
cucciari,Sustantivo,cucharas,Español,,OK
cuccu,Sustantivo,cuco macho (Cuculus canorus),Español,,OK
cuccumeddu,Sustantivo,tipo de pequeña cafetiera,Español,,OK
cuccuvìu,Sustantivo,"1. civetta (Athene noctua), 2. canto della civetta",Italiano,,OK
cuccìa,Verbo,frumento bollito solito a mangiarsi nelle feste,Italiano,,OK
cuccù,Sustantivo,cuco macho (Cuculus canorus),Español,,OK
cucuddi,Sustantivo,"pianta comune nei prati e nei terreni a grano, dai fiori gialli",Italiano,,OK
cuculidda,Sustantivo,seme di veccia,Italiano,,OK
cuculuni,Sustantivo,masso grande,Italiano,,OK
cucuruni,Sustantivo,bitorzolo,Italiano,,OK
cucuzza,Sustantivo,calabaza (Cucurbita maxima),Español,,OK
cuda,Sustantivo,cola,Español,,OK
cuddizza,Sustantivo,"lappa, attaccamani",Italiano,,OK
cudèspina,Sustantivo,donna d'età provetta,Italiano,,OK
cufazza,Sustantivo,hogaza (pan llano),Español,,OK
cuggeru,Sustantivo,cuchara,Español,,OK
cugniceddu,Sustantivo,piccolo barile,Italiano,,OK
cui,Sustantivo,quien,Español,,OK
cularinu,Sustantivo,emorroidi,Italiano,,OK
cularussa,Sustantivo,"frutto di fichidindia, frutto del ficodindia",Italiano,,OK
culleggiu,Sustantivo,colegio,Español,,OK
cullegiu,Sustantivo,colegio,Español,,OK
culu,Sustantivo,"culo, ano",Español,,OK
culuri,Sustantivo,color,Español,,OK
cummogghiu,Sustantivo,tapa,Español,,OK
cuncumeddu,Sustantivo,tipo de pequeña cafetiera,Español,,OK
cunfissu,Sustantivo,confijo,Español,,OK
cunnu,Sustantivo,"coño, vagina",Español,,OK
cunseri,Sustantivo,correggia per legare i buoi al giogo,Italiano,,OK
cunsiggheri,Sustantivo,consejero,Español,,OK
cunsigghieri,Sustantivo,consejero,Español,,OK
cunsigghiu,Sustantivo,consejo,Español,,OK
cunsiglieri,Sustantivo,consejero,Español,,OK
cunsigliu,Sustantivo,consejo,Español,,OK
cuntattu,Sustantivo,contacto,Español,,OK
cuntimplazioni,Sustantivo,contemplación,Español,,OK
cuntimplazzioni,Sustantivo,contemplación,Español,,OK
cuntimprazioni,Sustantivo,contemplación,Español,,OK
cuntimprazzioni,Sustantivo,contemplación,Español,,OK
cuntintizza,Sustantivo,felicidad,Español,,OK
cuntrollu,Sustantivo,control,Español,,OK
cunzarru,Sustantivo,pietraia,Italiano,,OK
cunziggheri,Sustantivo,consejero,Español,,OK
cunzigghieri,Sustantivo,consejero,Español,,OK
cunzigghiu,Sustantivo,consejo,Español,,OK
cunziglieri,Sustantivo,consejero,Español,,OK
cunzigliu,Sustantivo,consejo,Español,,OK
cupuni,Sustantivo,cocchiume,Italiano,,OK
curatu,Sustantivo,"cura, párroco",Español,,OK
curina,Sustantivo,"1. grupo de hojas tiernas, parte tierna y terminal de la planta, 2. cuerda",Español,,OK
curiuna càvuri,Sustantivo,speciali focacce che si vendevano nei giorni di digiuno,Italiano,,OK
curpulenza,Sustantivo,corpulencia,Español,,OK
curpulenzia,Sustantivo,corpulencia,Español,,OK
curruti,Sustantivo,carreras,Español,,OK
curti,Sustantivo,corte,Español,,OK
curtu e malucavatu,Sustantivo,persona piccola di statura e fastidiosa,Italiano,,OK
cussini,Verbo,"así, de esta forma",Español,,OK
custioni,Verbo,cuestión,Español,,OK
custura,Sustantivo,costura,Español,,OK
custuruni,Sustantivo,"cicatrice grande, ferita",Italiano,,OK
cusunuvru,Sustantivo,storace liquido,Italiano,,OK
cusunùvuru,Sustantivo,storace liquido,Italiano,,OK
cuticchia,Sustantivo,"canto rodado, guijarro",Español,,OK
cutruffu,Sustantivo,"fiasco, caraffa",Italiano,,OK
cuttunata,Sustantivo,"1. manta, cobija, 2. plumón (pelos)",Español,,OK
cuttuni,Sustantivo,algodón,Español,,OK
cuttunina,Sustantivo,"manta, cobija",Español,,OK
cutupesta,Sustantivo,accidenti!,Italiano,,OK
cuvernu,Sustantivo,gobierno,Español,,OK
cuviernu,Sustantivo,gobierno,Español,,OK
cuvirceri,Sustantivo,velo nero,Italiano,,OK
cuzzaruni,Sustantivo,ciglione,Italiano,,OK
cà,Sustantivo,"acá, aquí",Español,,OK
càbbilu,Sustantivo,"kabyle, cabil / idioma kabyle, idioma cabil",Español,,OK
càipa,Sustantivo,"gaviota, gavia",Español,,OK
càlamu,Sustantivo,"seta di bozzoli maltrattata, stracci di lana",Italiano,,OK
càmmisi,Sustantivo,bata (ropa de trabajo),Español,,OK
càncaru,Sustantivo,cáncer (tumor),Español,,OK
cànchiru,Sustantivo,cáncer (tumor),Español,,OK
càncuru,Sustantivo,cáncer (tumor),Español,,OK
cànguli,Sustantivo,castañas secas (castañas asadas),Español,,OK
càuciu,Sustantivo,"patada, puntapié, golpe con el pie",Español,,OK
càvuciu,Sustantivo,"patada, puntapié, golpe con el pie",Español,,OK
cìcara,Sustantivo,taza,Español,,OK
cìmati,Sustantivo,brassica spontanea (pianta),Italiano,,OK
cìmmalu,Sustantivo,"címbalo, platillo",Español,,OK
cìparu,Sustantivo,specie di giunco,Italiano,,OK
cìrculu,Sustantivo,círculo (club),Español,,OK
cìrrimu,Sustantivo,piccolo torrente d'acqua piovana,Italiano,,OK
cìvulu,Sustantivo,bambino piccolino,Italiano,,OK
còccanu,Sustantivo,padellina che nel candeliere accoglie le sgocciolature della cera,Italiano,,OK
còlira,Verbo,"ira, rabia",Español,,OK
còllira,Verbo,"ira, rabia",Español,,OK
còppula,Sustantivo,boina,Español,,OK
còrsu,Sustantivo,corso / idioma corso,Español,,OK
còrsu cismuntanu,Sustantivo,"corso cismontano, corso septentrional y central",Español,,OK
còrsu ultramuntanu,Sustantivo,"corso ultramontano, corso meridional",Español,,OK
còrula,Verbo,"ira, rabia",Español,,OK
còzzula,Sustantivo,mejillón (molusco),Español,,OK
cùccumu,Sustantivo,tipo de cafetiera,Español,,OK
cùcula,Sustantivo,lisca del lino,Italiano,,OK
cùcumu,Sustantivo,tipo de cafetiera,Español,,OK
cùncuma,Sustantivo,tipo de cafetiera,Español,,OK
cùncumu,Sustantivo,tipo de cafetiera,Español,,OK
cùppula,Sustantivo,boina,Español,,OK
d',Verbo,"de / desde, por",Español,,OK
d'unna,Conjunción/Adverbio,"dónde, donde",Español,,OK
d'unni,Conjunción/Adverbio,"dónde, donde",Español,,OK
daia,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
daja,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
dalla-ca-talla,Verbo,"per esprimere un'azione continuata e celere, dalli e dalli? (a forza d'insistere)",Italiano,,OK
dannu,Sustantivo,daño,Español,,OK
danti,Sustantivo,"gamo, dama dama",Español,,OK
darbu,Sustantivo,misura d'acqua,Italiano,,OK
dari n'ucchiata,Sustantivo,echar un vistazo,Español,,OK
darvana,Sustantivo,ricino (Ricinus communis),Español,,OK
ddaddà,Sustantivo,de paseo,Español,,OK
ddani,Sustantivo,"allá, allí",Español,,OK
ddavìa,Sustantivo,"allá, allí",Español,,OK
ddiscìa,Sustantivo,lisciva,Italiano,,OK
ddragunara,Verbo,tempestad de vientos con un mar muy agitado,Español,,OK
ddraunara,Verbo,tempestad de vientos con un mar muy agitado,Español,,OK
ddà,Sustantivo,"allá, allí",Español,,OK
ddòmini,Sustantivo,piccolo reliquiario,Italiano,,OK
deci,Sustantivo,diez,Español,,OK
defetari,Sustantivo,registri statali (sotto Ruggero II),Italiano,,OK
deia,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
deja,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
denti,Verbo,diente / dientes,Español,,OK
denti di liuni,Sustantivo,diente de león (Taraxacum officinale),Español,,OK
denza,Verbo,"audiencia, escucha, atención",Español,,OK
denzia,Verbo,"audiencia, escucha, atención",Español,,OK
deu,Sustantivo,dios,Español,,OK
di,Verbo,"de / desde, por",Español,,OK
di canterchiu,Verbo,"escondidamente, a escondidas, furtivamente",Español,,OK
di canticchiu,Verbo,"escondidamente, a escondidas, furtivamente",Español,,OK
di cantocchiu,Verbo,"escondidamente, a escondidas, furtivamente",Español,,OK
di cantorchiu,Verbo,"escondidamente, a escondidas, furtivamente",Español,,OK
di faianca,Sustantivo,di sghembo,Italiano,,OK
di fajanca,Sustantivo,di sghembo,Italiano,,OK
dica,Sustantivo,"inedia, struggimento, smania",Italiano,,OK
dicembri,Sustantivo,diciembre,Español,,OK
dicembru,Sustantivo,diciembre,Español,,OK
diciadottu,Sustantivo,dieciocho,Español,,OK
diciannovi,Sustantivo,diecinueve,Español,,OK
diciannovèsimu,Sustantivo,"decimonono, decimonoveno",Español,,OK
diciannuvèsimu,Sustantivo,"decimonono, decimonoveno",Español,,OK
diciarottu,Sustantivo,dieciocho,Español,,OK
diciassetti,Sustantivo,diecisiete,Español,,OK
diciassettèsimu,Sustantivo,decimoséptimo,Español,,OK
diciassittèsimu,Sustantivo,decimoséptimo,Español,,OK
dicinovi,Sustantivo,diecinueve,Español,,OK
diciottu,Sustantivo,dieciocho,Español,,OK
diciottèsimu,Sustantivo,decimoctavo,Español,,OK
dicisetti,Sustantivo,diecisiete,Español,,OK
diciuttèsimu,Sustantivo,decimoctavo,Español,,OK
dicièmmiru,Sustantivo,diciembre,Español,,OK
dicièmmuru,Sustantivo,diciembre,Español,,OK
dicèmmiru,Sustantivo,diciembre,Español,,OK
dicèmmuru,Sustantivo,diciembre,Español,,OK
diddì,Sustantivo,de paseo,Español,,OK
dieri,Sustantivo,"1. grotte, 2. case",Italiano,,OK
difinizioni,Sustantivo,definición,Español,,OK
difinizzioni,Sustantivo,definición,Español,,OK
dijunu,Sustantivo,ayuno,Español,,OK
dilena,Sustantivo,cantaride velenosissima,Italiano,,OK
dimu-,Sustantivo,demo-,Español,,OK
dimucrazzìa,Sustantivo,democracia,Español,,OK
dintra,Sustantivo,dentro,Español,,OK
dipro-,Sustantivo,diplo-,Español,,OK
dirivazzioni,Sustantivo,derivación,Español,,OK
disertu,Verbo,desierto,Español,,OK
disprezzu,Verbo,"desprecio, menosprecio",Español,,OK
dispusizioni,Sustantivo,disposición,Español,,OK
dispusizzioni,Sustantivo,disposición,Español,,OK
dissintarìa,Sustantivo,dissenteria,Italiano,,OK
dissirtazioni,Sustantivo,disertación,Español,,OK
dissirtazzioni,Sustantivo,disertación,Español,,OK
distinu,Verbo,destino,Español,,OK
ditta,Sustantivo,buona fortuna (in gioco),Italiano,,OK
diu,Sustantivo,dios,Español,,OK
divertimentu,Sustantivo,"diversión, entretenimiento",Español,,OK
divigghia,Verbo,escoba,Español,,OK
divirtimentu,Sustantivo,"diversión, entretenimiento",Español,,OK
dizziunariu,Sustantivo,diccionario,Español,,OK
diàmmani,Sustantivo,"diablo!, coño!",Español,,OK
diàntani,Sustantivo,"diable!, coño!",Español,,OK
diàntanu,Sustantivo,"diable!, coño!",Español,,OK
diàntini,Sustantivo,"diable!, coño!",Español,,OK
diàscacci,Sustantivo,"diavolo!, diascane!, diascolo!",Italiano,,OK
diàscani,Sustantivo,"diavolo!, diascane!, diascolo!",Italiano,,OK
diàulu,Sustantivo,diablo,Español,,OK
diàvulu,Sustantivo,diablo,Español,,OK
doccu,Verbo,tessuto doppio,Italiano,,OK
documentu,Sustantivo,documento,Español,,OK
domisìa,Verbo,per esempio,Italiano,,OK
donna,Sustantivo,"mujer, hembra",Español,,OK
donni,Verbo,"mujeres, hembras",Español,,OK
donnìnnari,Sustantivo,"hombre joven, elegante y galante",Español,,OK
donnìnnaru,Sustantivo,"hombre joven, elegante y galante",Español,,OK
donquànquaru,Sustantivo,arcifanfano,Italiano,,OK
doppu,Verbo,después,Español,,OK
doppucena,Sustantivo,noche,Español,,OK
doppupranzu,Sustantivo,tarde,Español,,OK
dopu,Verbo,después,Español,,OK
dragu,Sustantivo,dragón,Español,,OK
dragunara,Verbo,tempestad de vientos con un mar muy agitado,Español,,OK
draguni,Sustantivo,dragón,Español,,OK
draunara,Verbo,tempestad de vientos con un mar muy agitado,Español,,OK
dritta,Sustantivo,derecha,Español,,OK
dromu,Sustantivo,"via principale, corso",Italiano,,OK
dubblettu,Verbo,vesta lunga,Italiano,,OK
dubbrettu,Verbo,vesta lunga,Italiano,,OK
ducumentu,Sustantivo,documento,Español,,OK
dudicèsimu,Sustantivo,"duodécimo, decimosegundo",Español,,OK
dui,Sustantivo,dos,Español,,OK
dumila,Sustantivo,dos mil,Español,,OK
duminiu,Sustantivo,dominio,Español,,OK
dumma,Sustantivo,fruto de la palma enana,Español,,OK
dummi,Verbo,dátiles de la palma salvaje,Español,,OK
dummu,Sustantivo,dátil de la palma salvaje,Español,,OK
dunca,Verbo,entonces,Español,,OK
dunchi,Verbo,entonces,Español,,OK
dunna,Conjunción/Adverbio,"dónde, donde",Español,,OK
dunni,Conjunción/Adverbio,"dónde, donde",Español,,OK
dunàiru,Sustantivo,passatempo,Italiano,,OK
durbu,Sustantivo,plátano oriental (Platanus),Español,,OK
durmitoriu,Sustantivo,dormitorio,Español,,OK
dutturatu,Sustantivo,doctorado,Español,,OK
dàbbisu,Verbo,"branca ursina (Heracleum sphondylium L.), espondilio",Español,,OK
dècimu,Sustantivo,décimo,Español,,OK
dèciumu,Sustantivo,décimo,Español,,OK
dìcara,Sustantivo,"inedia, struggimento, smania",Italiano,,OK
dù,Sustantivo,dos,Español,,OK
dùdici,Sustantivo,doce,Español,,OK
dùrici,Sustantivo,doce,Español,,OK
dùtici,Sustantivo,doce,Español,,OK
e,Sustantivo,"y, e",Español,,OK
ecciù,Sustantivo,"¡achú!, ¡achí!",Español,,OK
eia,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
eiu,Sustantivo,yo,Español,,OK
eja,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
eju,Sustantivo,yo,Español,,OK
elassu,Sustantivo,spazio,Italiano,,OK
ellu,Verbo,aquí está,Español,,OK
emilianu-rumagnolu,Sustantivo,emiliano-romañolo / idioma emiliano-romañolo,Español,,OK
erba,Sustantivo,"hierba, yerba",Español,,OK
erbicedda,Sustantivo,"hierbita, yerbita",Español,,OK
erramitati,Sustantivo,accidenti!,Italiano,,OK
erva,Sustantivo,"hierba, yerba",Español,,OK
ervicedda,Sustantivo,"hierbita, yerbita",Español,,OK
esempiu,Sustantivo,ejemplo,Español,,OK
essica,Sustantivo,attenti!,Italiano,,OK
estati,Sustantivo,verano,Español,,OK
etimoluggìa,Sustantivo,etimología,Español,,OK
etimolugìa,Sustantivo,etimología,Español,,OK
etimuluggìa,Sustantivo,etimología,Español,,OK
eu,Sustantivo,yo,Español,,OK
facci,Sustantivo,"cara, haz, faz, rostro",Español,,OK
faciana,Sustantivo,ragazza dalla bella faccia,Italiano,,OK
facianu,Sustantivo,"1. fagiano, 2. ragazzo dalla bella faccia",Italiano,,OK
fadali,Sustantivo,delantal,Español,,OK
fadili,Sustantivo,pannicello,Italiano,,OK
fafaluci,Sustantivo,caracol,Español,,OK
fagu,Sustantivo,haya,Español,,OK
falacuni,Sustantivo,"bronco, sterpo grosso, tagliato dal ceppo",Italiano,,OK
falari,Sustantivo,delantal,Español,,OK
falla,Sustantivo,capa,Español,,OK
fallaru,Sustantivo,delantal,Español,,OK
fami,Sustantivo,hambre,Español,,OK
fanci,Sustantivo,"hoz, falce",Español,,OK
fandali,Sustantivo,delantal,Español,,OK
fanfaricchi,Sustantivo,un dolciume,Italiano,,OK
fanfirlicchi,Sustantivo,biada simile al grano,Italiano,,OK
fanfugghia,Sustantivo,cenere che va all'aria,Italiano,,OK
fanfulicchia,Sustantivo,"bozzolo troppo sottile, mal riuscito",Italiano,,OK
fantali,Sustantivo,delantal,Español,,OK
fanusu,Sustantivo,"miglio, logliarella",Italiano,,OK
farali,Sustantivo,delantal,Español,,OK
farda,Sustantivo,capa,Español,,OK
fari abbìdiri,Verbo,mostrar (hacer ver),Español,,OK
fari la facci canni canni,Verbo,"vergognarsi, arrossire",Italiano,,OK
fari làdiu,Sustantivo,afear,Español,,OK
fari vìdiri,Verbo,mostrar (hacer ver),Español,,OK
farina,Sustantivo,harina,Español,,OK
faruncina,Sustantivo,gonnellino,Italiano,,OK
farà,Sustantivo,calor del horno,Español,,OK
fasceddu,Sustantivo,"colmena / haz, manojo",Español,,OK
fasellu,Sustantivo,pisello (Sutera),Italiano,,OK
fastuca,Sustantivo,pistacho,Español,,OK
fatali,Sustantivo,delantal,Español,,OK
fatturìa,Sustantivo,granja,Español,,OK
faudali,Sustantivo,delantal,Español,,OK
fausascritta,Sustantivo,errore di scrittura,Italiano,,OK
favaragghiu,Sustantivo,"árbol y fruto del ""loto""",Español,,OK
favaraggi,Sustantivo,"árbol y fruto del ""loto""",Español,,OK
favaraggiu,Sustantivo,"árbol y fruto del ""loto""",Español,,OK
favazzana,Sustantivo,gorgojo (Bruchus),Español,,OK
fersa,Sustantivo,pezzo di stoffa,Italiano,,OK
fesi,Sustantivo,"strumento di ferro, da una parte a scure, dall'altra a piccone",Italiano,,OK
feu,Sustantivo,feudo,Español,,OK
ficadìnnia,Sustantivo,tunas,Español,,OK
ficarazzàra,Sustantivo,higuera de tuna,Español,,OK
ficarazzàri,Sustantivo,higueras de tuna,Español,,OK
ficaràzza,Sustantivo,tuna,Español,,OK
ficaràzzi,Sustantivo,tunas,Español,,OK
fici fici,Sustantivo,mosquitero común (Phylloscopus collybita),Español,,OK
ficu,Sustantivo,higo (fruto) / higuera / higo (fruto) / nuez (en el cuello),Español,,OK
ficu d'Innia,Sustantivo,higo chumbo,Español,,OK
ficudinnia,Sustantivo,higo chumbo,Español,,OK
fiesi,Sustantivo,"strumento di ferro, da una parte a scure, dall'altra a piccone",Italiano,,OK
figghi,Sustantivo,hijos / hijas,Español,,OK
figghia,Sustantivo,hija,Español,,OK
figghiu,Sustantivo,hijo,Español,,OK
figghiu di matrifilippa,Sustantivo,astuto,Italiano,,OK
figli,Sustantivo,hijos / hijas,Español,,OK
figlia,Sustantivo,hija,Español,,OK
figliu,Sustantivo,hijo,Español,,OK
figni,Sustantivo,hijos,Español,,OK
fignu,Sustantivo,hijo,Español,,OK
filicicchia,Sustantivo,polipodio común (Polypodium vulgaare L.),Español,,OK
filistocchi,Sustantivo,smancerie,Italiano,,OK
filli,Sustantivo,hijos,Español,,OK
fillu,Sustantivo,hijo,Español,,OK
filsa,Sustantivo,"foglio di cartone piegato in due, adibito come custodia",Italiano,,OK
filtru,Sustantivo,filtro,Español,,OK
filu di vìmini,Sustantivo,"brizna de vimbre, rama de Salix viminalis",Español,,OK
filu-,Sustantivo,filo-,Español,,OK
filusella,Sustantivo,filato di seta stracciata,Italiano,,OK
filòsufu,Sustantivo,filósofo,Español,,OK
finestra,Sustantivo,ventana / ventana,Español,,OK
firettu,Sustantivo,hurón,Español,,OK
firragghiu,Sustantivo,asa de hierro,Español,,OK
firriari Lecca e la Mecca,Verbo,ir de la Ceca a la Meca,Español,,OK
fischìa,Sustantivo,"1. mastello, 2. melma",Italiano,,OK
fitinzìa,Verbo,"peste, mal olor",Español,,OK
fiu,Sustantivo,feudo,Español,,OK
fiàscula,Sustantivo,favilla,Italiano,,OK
focu,Sustantivo,fuego,Español,,OK
fogghia,Sustantivo,hoja,Español,,OK
foglia,Sustantivo,hoja,Español,,OK
forasìa,Sustantivo,che Dio non voglia!,Italiano,,OK
forma,Sustantivo,forma,Español,,OK
fraccocu,Sustantivo,albaricoque,Español,,OK
francisi,Verbo,francés  / franceses  / idioma francés,Español,,OK
francisi mediu,Sustantivo,francés medio,Español,,OK
frandòcchiula,Sustantivo,"cicciolo, sicciolo",Italiano,,OK
frannòcchiula,Sustantivo,"cicciolo, sicciolo",Italiano,,OK
frasa,Sustantivo,frasa,Español,,OK
frascàtula,Sustantivo,tipo de hogaza (pan llano),Español,,OK
frasi,Sustantivo,frasa,Español,,OK
frastuca,Sustantivo,pistacho,Español,,OK
fratu,Verbo,"aliento, respiración",Español,,OK
friggideri,Sustantivo,"nevera, frigorífico",Español,,OK
friseddu,Sustantivo,spazio di una cosa di rincalzo a un'altra (Traina),Italiano,,OK
frocia,Sustantivo,tortilla,Español,,OK
fruceri,Sustantivo,buono a nulla,Italiano,,OK
frunti,Sustantivo,frente,Español,,OK
fràscinu,Verbo,fresno (Fraxinus),Español,,OK
fràssinu,Verbo,fresno (Fraxinus),Español,,OK
fua,Verbo,calore che emana dal forno acceso,Italiano,,OK
fuanu,Sustantivo,"allocco, barbagianni, gufo",Italiano,,OK
fuazza,Sustantivo,hogaza (pan llano),Español,,OK
fucazza,Sustantivo,hogaza (pan llano),Español,,OK
fudda,Sustantivo,muchedumbre,Español,,OK
fuddunata,Sustantivo,orma di animali sul molliccio,Italiano,,OK
fuganu,Sustantivo,"allocco, barbagianni, gufo",Italiano,,OK
fugazza,Sustantivo,hogaza (pan llano),Español,,OK
fuianu,Sustantivo,"allocco, barbagianni, gufo",Italiano,,OK
fujanu,Sustantivo,"allocco, barbagianni, gufo",Italiano,,OK
fumedda,Sustantivo,strumento di sughero per catturare le seppie,Italiano,,OK
fumeri,Verbo,estiércol (hecho a partir de excrementos de animales),Español,,OK
fumusternu,Sustantivo,"1. adoxa (Adoxa moschatellina), 2. palomillla (Fumaria officinalis)",Español,,OK
fumusterra,Sustantivo,"1. adoxa (Adoxa moschatellina), 2. palomillla (Fumaria officinalis)",Español,,OK
funcia,Sustantivo,"1. champiñón, hongo, 2. enfurruñamiento, 3. morro, hocico, 4. boca",Español,,OK
fungia,Sustantivo,"1. champiñón, hongo, 2. enfurruñamiento, 3. morro, hocico",Español,,OK
fuocu,Sustantivo,fuego,Español,,OK
furchiuni,Sustantivo,"buca, stamberga",Italiano,,OK
furesta,Sustantivo,"bosque, selva",Español,,OK
furettu,Sustantivo,hurón,Español,,OK
furma,Sustantivo,forma,Español,,OK
fusara,Sustantivo,pettegola,Italiano,,OK
fusìa,Verbo,escrementi del baco da seta,Italiano,,OK
futteca,Sustantivo,"chi si arricchisce rapidamente e con mezzi illeciti, chi imbroglia o si arricchisce imbrogliando",Italiano,,OK
futterra,Sustantivo,"chi si arricchisce rapidamente e con mezzi illeciti, chi imbroglia o si arricchisce imbrogliando",Italiano,,OK
fàmicia,Sustantivo,la parte più stretta della scarpa (il fiosso),Italiano,,OK
fàuci,Sustantivo,"hoz, falce / hoz",Español,,OK
fàuda,Sustantivo,capa,Español,,OK
fàvuci,Sustantivo,"hoz, falce",Español,,OK
fìca,Sustantivo,higos,Español,,OK
fìcatu,Sustantivo,hígado,Español,,OK
fìcutu,Sustantivo,hígado,Español,,OK
fùnnacu,Conjunción/Adverbio,lugar donde los carreteros descansan,Español,,OK
fùnnicu,Conjunción/Adverbio,lugar donde los carreteros descansan,Español,,OK
fùnnucu,Conjunción/Adverbio,lugar donde los carreteros descansan,Español,,OK
gabbianu,Sustantivo,"gaviota, gavia",Español,,OK
gadda,Sustantivo,gallozza (della quercia usata in tintoria o per inchiostri neri),Italiano,,OK
gaddemi,Verbo,fabricante de ricotta (queso),Español,,OK
gaddetta,Verbo,"1. fossetta nelle guance, 2. fosserella nel gioco fanciullesco delle nocciole",Italiano,,OK
gaddimi,Verbo,fabricante de ricotta (queso),Español,,OK
gaddina,Sustantivo,gallina,Español,,OK
gaddini,Sustantivo,gallinas,Español,,OK
gaddorfu,Sustantivo,gallito mal castrado,Español,,OK
gaddu,Sustantivo,gallo,Español,,OK
gadduffu,Sustantivo,gallito mal castrado,Español,,OK
gadduorfu,Sustantivo,gallito mal castrado,Español,,OK
gagati,Sustantivo,"pietra nera, giaietto",Italiano,,OK
gagghia,Conjunción/Adverbio,"1. jaula, caja, 2. bote donde el carnicero repone el dinero",Español,,OK
gaggia,Sustantivo,"jaula, caja",Español,,OK
gaitu,Sustantivo,giudice,Italiano,,OK
galega,Verbo,tipo de ciruela pequeña,Español,,OK
galiassa,Sustantivo,"curro, palanca",Italiano,,OK
gamma,Sustantivo,pierna,Español,,OK
gammi,Sustantivo,piernas,Español,,OK
gammitta,Sustantivo,solco principale per raccogliere le acque nel campo,Italiano,,OK
gangata,Sustantivo,ceffone,Italiano,,OK
garaiuni,Sustantivo,morena macho,Español,,OK
garajuni,Sustantivo,morena macho,Español,,OK
garamma,Sustantivo,"grieta, rajadura, raja",Español,,OK
garba,Sustantivo,cerchio d'assi sottili attorno ai crivelli,Italiano,,OK
gardùbbulu,Verbo,abejorro (vespa crabro),Español,,OK
gariddu,Verbo,escrescenza sotto la lingua,Italiano,,OK
garrittuni,Sustantivo,ciarlone,Italiano,,OK
garsella,Sustantivo,lucignolo ad olio automatico,Italiano,,OK
garufu,Sustantivo,"asfodelo blanco, gamón blanco (Asphodelus albus)",Español,,OK
gassa,Sustantivo,"arañazo, rasguño, herida /",Español,,OK
gastema,Sustantivo,"imprecación, maldición",Español,,OK
gastima,Sustantivo,"imprecación, maldición",Español,,OK
gastimma,Sustantivo,"imprecación, maldición",Español,,OK
gattaredda,Sustantivo,il fiore del nocciolo,Italiano,,OK
gattaruni,Sustantivo,gattino,Italiano,,OK
gattorfu,Sustantivo,gattino,Italiano,,OK
gattu,Sustantivo,gato,Español,,OK
gattuffu,Sustantivo,gattino,Italiano,,OK
gattuorfu,Sustantivo,gattino,Italiano,,OK
gaviu,Sustantivo,piviere (nome d'uccello),Italiano,,OK
gavòttula,Sustantivo,"giovane donna, giovanotta innamorata",Italiano,,OK
gazza,Sustantivo,"picaza, urraca",Español,,OK
gaèlicu irlannisi,Verbo,"idioma irlandés, gaélico irlandés",Español,,OK
gaèlicu mannisi,Sustantivo,"idioma manés, gaélico manés",Español,,OK
